Network,Status,Offer,Chain_ID,DEXs,DEXs_count,Protocols,Launch_Date,TVL,safe_protofire,safe_exists,Notes
MultiVAC,Uncertain — verify,Safe + UniV3,—,"VAX, ABcDeFX",2 vol≠tvl,3,6/18/2022,"$6,654",NO,UNCLEAR,
OntologyEVM,Active,Safe + UniV3,58,"iZiSwap, UniFi",2,4,5/31/2022,"$2,337",NO,NO,
REIchain,Uncertain — verify,Safe + UniV3,55555,Foodcourt,1 vol≠tvl,1,5/30/2022,"$1,564",NO,NO,
Lachain,Active,Safe + UniV3,225,Ladex Exchange,1 vol≠tvl,3,5/25/2022,"$16,595",NO,NO,
Hydra,Active,Safe + UniV3,—,"Hydradex V2, Hydradex V3",2,3,4/21/2022,"$19,248",NO,UNCLEAR,
DFK,Active,UniV3,53935,Crystalvale,1 vol≠tvl,2,4/1/2022,"$775,017",YES,NO,
Syscoin,Active,UniV3,57,PegaSys V2,1,4,2/19/2022,—,NO,YES,
Curio,Active,Safe + UniV3,8.37E+14,CapitalDEX,1 vol≠tvl,1,2/4/2022,—,NO,NO,
Theta,Active,Safe + UniV3,361,"ThetaSwap, VoltSwap",2 vol≠tvl,6,1/11/2022,"$368,579",NO,NO,
Nahmii,"DEAD — Inactive, no activity since 2023",Safe + UniV3,5551,NiiFi,1 vol≠tvl,1,12/30/2021,"$54,496",NO,NO,
CSC,Active,Safe + UniV3,52,"OneSwap, IFSwap",2 vol≠tvl,5,12/18/2021,"$274,915",NO,NO,
Callisto,Active,Safe + UniV3,820,Soy Finance,1,1,12/12/2021,"$4,117",NO,NO,
Godwoken,Active,Safe + UniV3,71394,"YokaiSwap, StableKoi",2 vol≠tvl,3,12/10/2021,"$54,665",NO,NO,
Ubiq,Uncertain — verify,Safe + UniV3,8,Shinobi,1 vol≠tvl,1,11/30/2021,—,NO,NO,
ZYX,Uncertain — verify,Safe + UniV3,55,ZYXSwap,1 vol≠tvl,1,11/16/2021,—,NO,NO,
Polis,Uncertain — verify,UniV3,333999,Hades Swap,1 vol≠tvl,1,11/14/2021,—,NO,YES,
Elastos,Active,Safe + UniV3,20,"Elk, Glide Finance",2,3,11/8/2021,"$245,162",NO,NO,
Hoo,Uncertain — verify,Safe + UniV3,70,"Elk, PuddingSwap",2 vol≠tvl,4,11/4/2021,—,NO,NO,
Ronin,Active,Canonical UniV3,2020,"Katana DEX, Katana DEX V3",2 vol≠tvl,12,11/3/2021,"$14,108,113",NO,YES,
GoChain,Uncertain — verify,Safe + UniV3,60,GoSwap,1 vol≠tvl,1,10/20/2021,"$13,165",NO,NO,
EnergyWeb,Active,UniV3,246,CarbonSwap,1,2,10/15/2021,"$64,058",NO,YES,
Palm,Active,UniV3,11297108109,"SushiSwap, DONASWAP V2",2 vol≠tvl,2,9/14/2021,$529,NO,YES,
Fusion,Active,Safe + UniV3,32659,"Chainge Finance, DONASWAP V2",2 vol≠tvl,3,9/13/2021,—,NO,NO,
HPB,Uncertain — verify,Safe + UniV3,269,Hpdex,1 vol≠tvl,1,9/7/2021,—,NO,NO,
Karura,Active,Safe + UniV3,—,Karura Swap,1,5,8/11/2021,"$69,855",NO,UNCLEAR,
Energi,Active,Safe + UniV3,39797,Energiswap,1,3,3/27/2021,"$152,543",NO,NO,
Bitcoin,Active,Safe + UniV3,—,Thorchain DEX,1 vol≠tvl,157,3/20/2021,"$5,065,609,593",NO,UNCLEAR,
